image;width;height;dataset_country;mixset_id;spain_id;germany_id;belgium_id
01010_00001.ppm;97;83;bel;1;R-1;13;19
01010_00002.ppm;86;75;bel;1;R-1;13;19
01038_00000.ppm;69;62;bel;1;R-1;13;19
01038_00001.ppm;74;69;bel;1;R-1;13;19
01038_00002.ppm;69;64;bel;1;R-1;13;19
01039_00000.ppm;146;147;bel;1;R-1;13;19
01039_00001.ppm;116;111;bel;1;R-1;13;19
01039_00002.ppm;128;128;bel;1;R-1;13;19
01101_00000.ppm;69;63;bel;1;R-1;13;19
01101_00001.ppm;75;70;bel;1;R-1;13;19
01101_00002.ppm;82;79;bel;1;R-1;13;19
01106_00000.ppm;98;95;bel;1;R-1;13;19
01106_00001.ppm;88;85;bel;1;R-1;13;19
01106_00002.ppm;112;108;bel;1;R-1;13;19
01131_00000.ppm;124;203;bel;1;R-1;13;19
01131_00001.ppm;104;199;bel;1;R-1;13;19
01131_00002.ppm;84;199;bel;1;R-1;13;19
01190_00000.ppm;120;120;bel;1;R-1;13;19
01190_00001.ppm;128;132;bel;1;R-1;13;19
01190_00002.ppm;107;108;bel;1;R-1;13;19
01203_00000.ppm;94;85;bel;1;R-1;13;19
01203_00001.ppm;108;95;bel;1;R-1;13;19
01203_00002.ppm;123;109;bel;1;R-1;13;19
01204_00000.ppm;68;61;bel;1;R-1;13;19
01204_00001.ppm;72;63;bel;1;R-1;13;19
01204_00002.ppm;70;63;bel;1;R-1;13;19
01205_00000.ppm;116;103;bel;1;R-1;13;19
01205_00001.ppm;93;81;bel;1;R-1;13;19
01205_00002.ppm;100;92;bel;1;R-1;13;19
01207_00000.ppm;100;75;bel;1;R-1;13;19
01207_00001.ppm;103;79;bel;1;R-1;13;19
01207_00002.ppm;100;79;bel;1;R-1;13;19
01209_00000.ppm;163;142;bel;1;R-1;13;19
01209_00001.ppm;142;124;bel;1;R-1;13;19
01209_00002.ppm;107;97;bel;1;R-1;13;19
01212_00000.ppm;79;75;bel;1;R-1;13;19
01212_00001.ppm;75;70;bel;1;R-1;13;19
01212_00002.ppm;85;83;bel;1;R-1;13;19
01214_00000.ppm;35;43;bel;1;R-1;13;19
01214_00001.ppm;35;45;bel;1;R-1;13;19
01214_00002.ppm;34;45;bel;1;R-1;13;19
01222_00000.ppm;28;32;bel;1;R-1;13;19
01222_00001.ppm;28;32;bel;1;R-1;13;19
01222_00002.ppm;29;34;bel;1;R-1;13;19
01227_00000.ppm;36;31;bel;1;R-1;13;19
01227_00001.ppm;34;34;bel;1;R-1;13;19
01227_00002.ppm;35;34;bel;1;R-1;13;19
01229_00000.ppm;55;165;bel;1;R-1;13;19
01229_00001.ppm;60;159;bel;1;R-1;13;19
01229_00002.ppm;67;160;bel;1;R-1;13;19
01311_00000.ppm;98;88;bel;1;R-1;13;19
01311_00001.ppm;84;76;bel;1;R-1;13;19
01311_00002.ppm;73;68;bel;1;R-1;13;19
01317_00000.ppm;98;96;bel;1;R-1;13;19
01317_00001.ppm;87;83;bel;1;R-1;13;19
01317_00002.ppm;115;110;bel;1;R-1;13;19
01344_00000.ppm;93;88;bel;1;R-1;13;19
01344_00001.ppm;79;80;bel;1;R-1;13;19
01344_00002.ppm;111;100;bel;1;R-1;13;19
01349_00000.ppm;72;67;bel;1;R-1;13;19
01349_00001.ppm;83;81;bel;1;R-1;13;19
01349_00002.ppm;96;91;bel;1;R-1;13;19
01355_00000.ppm;97;91;bel;1;R-1;13;19
01355_00001.ppm;122;112;bel;1;R-1;13;19
01355_00002.ppm;83;76;bel;1;R-1;13;19
01368_00000.ppm;109;100;bel;1;R-1;13;19
01368_00001.ppm;95;85;bel;1;R-1;13;19
01368_00002.ppm;133;124;bel;1;R-1;13;19
01377_00000.ppm;92;105;bel;1;R-1;13;19
01377_00001.ppm;100;120;bel;1;R-1;13;19
01459_00000.ppm;97;86;bel;1;R-1;13;19
01459_00001.ppm;81;74;bel;1;R-1;13;19
01513_00000.ppm;187;156;bel;1;R-1;13;19
01513_00001.ppm;118;98;bel;1;R-1;13;19
01513_00002.ppm;99;84;bel;1;R-1;13;19
01571_00000.ppm;230;195;bel;1;R-1;13;19
01571_00001.ppm;169;151;bel;1;R-1;13;19
01571_00002.ppm;122;109;bel;1;R-1;13;19
01579_00000.ppm;154;136;bel;1;R-1;13;19
01579_00001.ppm;201;177;bel;1;R-1;13;19
01579_00002.ppm;130;111;bel;1;R-1;13;19
01604_00000.ppm;73;108;bel;1;R-1;13;19
01604_00001.ppm;86;111;bel;1;R-1;13;19
01604_00002.ppm;83;73;bel;1;R-1;13;19
01720_00000.ppm;158;135;bel;1;R-1;13;19
01720_00001.ppm;123;109;bel;1;R-1;13;19
01720_00002.ppm;95;87;bel;1;R-1;13;19
01749_00000.ppm;191;177;bel;1;R-1;13;19
01749_00001.ppm;155;175;bel;1;R-1;13;19
01749_00002.ppm;118;169;bel;1;R-1;13;19
01829_00000.ppm;260;236;bel;1;R-1;13;19
01829_00001.ppm;133;131;bel;1;R-1;13;19
01829_00002.ppm;93;96;bel;1;R-1;13;19
01874_00000.ppm;141;268;bel;1;R-1;13;19
01874_00001.ppm;130;116;bel;1;R-1;13;19
01874_00002.ppm;106;97;bel;1;R-1;13;19
01876_00000.ppm;79;72;bel;1;R-1;13;19
01876_00001.ppm;63;107;bel;1;R-1;13;19
01876_00002.ppm;95;107;bel;1;R-1;13;19
01891_00000.ppm;315;271;bel;1;R-1;13;19
01891_00001.ppm;200;273;bel;1;R-1;13;19
01891_00002.ppm;136;130;bel;1;R-1;13;19
01895_00000.ppm;83;79;bel;1;R-1;13;19
01895_00001.ppm;112;99;bel;1;R-1;13;19
01895_00002.ppm;108;203;bel;1;R-1;13;19
01906_00000.ppm;187;155;bel;1;R-1;13;19
01906_00001.ppm;123;108;bel;1;R-1;13;19
01906_00002.ppm;85;74;bel;1;R-1;13;19
01928_00000.ppm;219;190;bel;1;R-1;13;19
01928_00001.ppm;132;118;bel;1;R-1;13;19
01928_00002.ppm;93;82;bel;1;R-1;13;19
01936_00000.ppm;93;85;bel;1;R-1;13;19
01936_00001.ppm;74;68;bel;1;R-1;13;19
01936_00002.ppm;127;110;bel;1;R-1;13;19
01962_00000.ppm;86;83;bel;1;R-1;13;19
01962_00001.ppm;107;98;bel;1;R-1;13;19
01962_00002.ppm;132;127;bel;1;R-1;13;19
00000_00000.ppm;25;25;ger;1;R-1;13;19
00000_00001.ppm;26;27;ger;1;R-1;13;19
00000_00002.ppm;26;28;ger;1;R-1;13;19
00000_00003.ppm;28;28;ger;1;R-1;13;19
00000_00004.ppm;29;29;ger;1;R-1;13;19
00000_00005.ppm;29;29;ger;1;R-1;13;19
00000_00006.ppm;27;30;ger;1;R-1;13;19
00000_00007.ppm;29;30;ger;1;R-1;13;19
00000_00008.ppm;31;31;ger;1;R-1;13;19
00000_00009.ppm;33;31;ger;1;R-1;13;19
00000_00010.ppm;35;33;ger;1;R-1;13;19
00000_00011.ppm;38;37;ger;1;R-1;13;19
00000_00012.ppm;37;37;ger;1;R-1;13;19
00000_00013.ppm;38;38;ger;1;R-1;13;19
00000_00014.ppm;40;40;ger;1;R-1;13;19
00000_00015.ppm;41;39;ger;1;R-1;13;19
00000_00016.ppm;42;40;ger;1;R-1;13;19
00000_00017.ppm;46;43;ger;1;R-1;13;19
00000_00018.ppm;47;45;ger;1;R-1;13;19
00000_00019.ppm;49;48;ger;1;R-1;13;19
00000_00020.ppm;53;51;ger;1;R-1;13;19
00000_00021.ppm;55;51;ger;1;R-1;13;19
00000_00022.ppm;56;53;ger;1;R-1;13;19
00000_00023.ppm;58;56;ger;1;R-1;13;19
00000_00024.ppm;60;58;ger;1;R-1;13;19
00000_00025.ppm;67;62;ger;1;R-1;13;19
00000_00026.ppm;73;70;ger;1;R-1;13;19
00000_00027.ppm;79;75;ger;1;R-1;13;19
00000_00028.ppm;87;83;ger;1;R-1;13;19
00000_00029.ppm;95;89;ger;1;R-1;13;19
00001_00000.ppm;26;29;ger;1;R-1;13;19
00001_00001.ppm;26;30;ger;1;R-1;13;19
00001_00002.ppm;26;30;ger;1;R-1;13;19
00001_00003.ppm;28;30;ger;1;R-1;13;19
00001_00004.ppm;29;32;ger;1;R-1;13;19
00001_00005.ppm;32;32;ger;1;R-1;13;19
00001_00006.ppm;32;33;ger;1;R-1;13;19
00001_00007.ppm;33;35;ger;1;R-1;13;19
00001_00008.ppm;33;33;ger;1;R-1;13;19
00001_00009.ppm;33;35;ger;1;R-1;13;19
00001_00010.ppm;36;37;ger;1;R-1;13;19
00001_00011.ppm;39;41;ger;1;R-1;13;19
00001_00012.ppm;40;41;ger;1;R-1;13;19
00001_00013.ppm;40;42;ger;1;R-1;13;19
00001_00014.ppm;44;45;ger;1;R-1;13;19
00001_00015.ppm;45;45;ger;1;R-1;13;19
00001_00016.ppm;49;48;ger;1;R-1;13;19
00001_00017.ppm;50;50;ger;1;R-1;13;19
00001_00018.ppm;53;52;ger;1;R-1;13;19
00001_00019.ppm;57;55;ger;1;R-1;13;19
00001_00020.ppm;58;59;ger;1;R-1;13;19
00001_00021.ppm;61;61;ger;1;R-1;13;19
00001_00022.ppm;68;64;ger;1;R-1;13;19
00001_00023.ppm;74;72;ger;1;R-1;13;19
00001_00024.ppm;82;79;ger;1;R-1;13;19
00001_00025.ppm;86;84;ger;1;R-1;13;19
00001_00026.ppm;97;94;ger;1;R-1;13;19
00001_00027.ppm;106;98;ger;1;R-1;13;19
00001_00028.ppm;120;108;ger;1;R-1;13;19
00001_00029.ppm;131;118;ger;1;R-1;13;19
00002_00000.ppm;38;36;ger;1;R-1;13;19
00002_00001.ppm;38;36;ger;1;R-1;13;19
00002_00002.ppm;39;36;ger;1;R-1;13;19
00002_00003.ppm;38;36;ger;1;R-1;13;19
00002_00004.ppm;40;38;ger;1;R-1;13;19
00002_00005.ppm;41;39;ger;1;R-1;13;19
00002_00006.ppm;41;39;ger;1;R-1;13;19
00002_00007.ppm;42;39;ger;1;R-1;13;19
00002_00008.ppm;42;39;ger;1;R-1;13;19
00002_00009.ppm;42;39;ger;1;R-1;13;19
00002_00010.ppm;43;41;ger;1;R-1;13;19
00002_00011.ppm;45;43;ger;1;R-1;13;19
00002_00012.ppm;45;44;ger;1;R-1;13;19
00002_00013.ppm;45;44;ger;1;R-1;13;19
00002_00014.ppm;45;44;ger;1;R-1;13;19
00002_00015.ppm;44;44;ger;1;R-1;13;19
00002_00016.ppm;48;48;ger;1;R-1;13;19
00002_00017.ppm;48;50;ger;1;R-1;13;19
00002_00018.ppm;49;51;ger;1;R-1;13;19
00002_00019.ppm;51;52;ger;1;R-1;13;19
00002_00020.ppm;52;52;ger;1;R-1;13;19
00002_00021.ppm;54;54;ger;1;R-1;13;19
00002_00022.ppm;55;56;ger;1;R-1;13;19
00002_00023.ppm;58;59;ger;1;R-1;13;19
00002_00024.ppm;60;60;ger;1;R-1;13;19
00002_00025.ppm;62;63;ger;1;R-1;13;19
00002_00026.ppm;64;69;ger;1;R-1;13;19
00002_00027.ppm;70;71;ger;1;R-1;13;19
00002_00028.ppm;70;73;ger;1;R-1;13;19
00002_00029.ppm;75;80;ger;1;R-1;13;19
00003_00000.ppm;26;26;ger;1;R-1;13;19
00003_00001.ppm;27;28;ger;1;R-1;13;19
00003_00002.ppm;28;28;ger;1;R-1;13;19
00003_00003.ppm;30;30;ger;1;R-1;13;19
00003_00004.ppm;30;30;ger;1;R-1;13;19
00003_00005.ppm;30;31;ger;1;R-1;13;19
00003_00006.ppm;32;35;ger;1;R-1;13;19
00003_00007.ppm;34;36;ger;1;R-1;13;19
00003_00008.ppm;35;38;ger;1;R-1;13;19
00003_00009.ppm;39;39;ger;1;R-1;13;19
00003_00010.ppm;41;41;ger;1;R-1;13;19
00003_00011.ppm;43;42;ger;1;R-1;13;19
00003_00012.ppm;50;45;ger;1;R-1;13;19
00003_00013.ppm;53;48;ger;1;R-1;13;19
00003_00014.ppm;57;54;ger;1;R-1;13;19
00003_00015.ppm;60;58;ger;1;R-1;13;19
00003_00016.ppm;65;62;ger;1;R-1;13;19
00003_00017.ppm;74;69;ger;1;R-1;13;19
00003_00018.ppm;81;73;ger;1;R-1;13;19
00003_00019.ppm;84;75;ger;1;R-1;13;19
00003_00020.ppm;92;83;ger;1;R-1;13;19
00003_00021.ppm;97;89;ger;1;R-1;13;19
00003_00022.ppm;106;95;ger;1;R-1;13;19
00003_00023.ppm;112;106;ger;1;R-1;13;19
00003_00024.ppm;120;110;ger;1;R-1;13;19
00003_00025.ppm;131;119;ger;1;R-1;13;19
00003_00026.ppm;144;129;ger;1;R-1;13;19
00003_00027.ppm;167;146;ger;1;R-1;13;19
00003_00028.ppm;190;168;ger;1;R-1;13;19
00003_00029.ppm;224;201;ger;1;R-1;13;19
00004_00000.ppm;27;25;ger;1;R-1;13;19
00004_00001.ppm;30;27;ger;1;R-1;13;19
00004_00002.ppm;31;28;ger;1;R-1;13;19
00004_00003.ppm;31;28;ger;1;R-1;13;19
00004_00004.ppm;33;27;ger;1;R-1;13;19
00004_00005.ppm;35;28;ger;1;R-1;13;19
00004_00006.ppm;33;29;ger;1;R-1;13;19
00004_00007.ppm;32;30;ger;1;R-1;13;19
00004_00008.ppm;34;31;ger;1;R-1;13;19
00004_00009.ppm;34;32;ger;1;R-1;13;19
00004_00010.ppm;36;34;ger;1;R-1;13;19
00004_00011.ppm;37;35;ger;1;R-1;13;19
00004_00012.ppm;38;34;ger;1;R-1;13;19
00004_00013.ppm;40;37;ger;1;R-1;13;19
00004_00014.ppm;39;37;ger;1;R-1;13;19
00004_00015.ppm;43;40;ger;1;R-1;13;19
00004_00016.ppm;44;40;ger;1;R-1;13;19
00004_00017.ppm;47;40;ger;1;R-1;13;19
00004_00018.ppm;47;42;ger;1;R-1;13;19
00004_00019.ppm;51;47;ger;1;R-1;13;19
00004_00020.ppm;57;48;ger;1;R-1;13;19
00004_00021.ppm;60;52;ger;1;R-1;13;19
00004_00022.ppm;61;55;ger;1;R-1;13;19
00004_00023.ppm;70;60;ger;1;R-1;13;19
00004_00024.ppm;75;63;ger;1;R-1;13;19
00004_00025.ppm;83;72;ger;1;R-1;13;19
00004_00026.ppm;94;81;ger;1;R-1;13;19
00004_00027.ppm;116;96;ger;1;R-1;13;19
00004_00028.ppm;130;117;ger;1;R-1;13;19
00004_00029.ppm;154;136;ger;1;R-1;13;19
00005_00000.ppm;27;29;ger;1;R-1;13;19
00005_00001.ppm;29;29;ger;1;R-1;13;19
00005_00002.ppm;29;29;ger;1;R-1;13;19
00005_00003.ppm;29;30;ger;1;R-1;13;19
00005_00004.ppm;31;31;ger;1;R-1;13;19
00005_00005.ppm;30;30;ger;1;R-1;13;19
00005_00006.ppm;31;32;ger;1;R-1;13;19
00005_00007.ppm;32;33;ger;1;R-1;13;19
00005_00008.ppm;32;33;ger;1;R-1;13;19
00005_00009.ppm;32;34;ger;1;R-1;13;19
00005_00010.ppm;33;33;ger;1;R-1;13;19
00005_00011.ppm;36;35;ger;1;R-1;13;19
00005_00012.ppm;39;34;ger;1;R-1;13;19
00005_00013.ppm;38;37;ger;1;R-1;13;19
00005_00014.ppm;41;39;ger;1;R-1;13;19
00005_00015.ppm;45;43;ger;1;R-1;13;19
00005_00016.ppm;47;44;ger;1;R-1;13;19
00005_00017.ppm;46;44;ger;1;R-1;13;19
00005_00018.ppm;52;46;ger;1;R-1;13;19
00005_00019.ppm;54;49;ger;1;R-1;13;19
00005_00020.ppm;56;51;ger;1;R-1;13;19
00005_00021.ppm;59;55;ger;1;R-1;13;19
00005_00022.ppm;62;57;ger;1;R-1;13;19
00005_00023.ppm;69;60;ger;1;R-1;13;19
00005_00024.ppm;77;68;ger;1;R-1;13;19
00005_00025.ppm;82;75;ger;1;R-1;13;19
00005_00026.ppm;90;87;ger;1;R-1;13;19
00005_00027.ppm;97;98;ger;1;R-1;13;19
00005_00028.ppm;111;116;ger;1;R-1;13;19
00005_00029.ppm;131;136;ger;1;R-1;13;19
00006_00000.ppm;28;26;ger;1;R-1;13;19
00006_00001.ppm;28;26;ger;1;R-1;13;19
00006_00002.ppm;28;26;ger;1;R-1;13;19
00006_00003.ppm;29;29;ger;1;R-1;13;19
00006_00004.ppm;30;30;ger;1;R-1;13;19
00006_00005.ppm;32;30;ger;1;R-1;13;19
00006_00006.ppm;33;31;ger;1;R-1;13;19
00006_00007.ppm;32;31;ger;1;R-1;13;19
00006_00008.ppm;34;33;ger;1;R-1;13;19
00006_00009.ppm;34;32;ger;1;R-1;13;19
00006_00010.ppm;35;32;ger;1;R-1;13;19
00006_00011.ppm;36;33;ger;1;R-1;13;19
00006_00012.ppm;38;35;ger;1;R-1;13;19
00006_00013.ppm;40;36;ger;1;R-1;13;19
00006_00014.ppm;41;38;ger;1;R-1;13;19
00006_00015.ppm;42;38;ger;1;R-1;13;19
00006_00016.ppm;45;41;ger;1;R-1;13;19
00006_00017.ppm;46;41;ger;1;R-1;13;19
00006_00018.ppm;49;43;ger;1;R-1;13;19
00006_00019.ppm;51;46;ger;1;R-1;13;19
00006_00020.ppm;53;46;ger;1;R-1;13;19
00006_00021.ppm;56;49;ger;1;R-1;13;19
00006_00022.ppm;57;51;ger;1;R-1;13;19
00006_00023.ppm;60;53;ger;1;R-1;13;19
00006_00024.ppm;64;55;ger;1;R-1;13;19
00006_00025.ppm;65;58;ger;1;R-1;13;19
00006_00026.ppm;72;62;ger;1;R-1;13;19
00006_00027.ppm;76;68;ger;1;R-1;13;19
00006_00028.ppm;76;69;ger;1;R-1;13;19
00006_00029.ppm;84;75;ger;1;R-1;13;19
00007_00000.ppm;35;34;ger;1;R-1;13;19
00007_00001.ppm;38;35;ger;1;R-1;13;19
00007_00002.ppm;38;35;ger;1;R-1;13;19
00007_00003.ppm;40;36;ger;1;R-1;13;19
00007_00004.ppm;40;38;ger;1;R-1;13;19
00007_00005.ppm;39;38;ger;1;R-1;13;19
00007_00006.ppm;41;40;ger;1;R-1;13;19
00007_00007.ppm;41;40;ger;1;R-1;13;19
00007_00008.ppm;41;39;ger;1;R-1;13;19
00007_00009.ppm;42;39;ger;1;R-1;13;19
00007_00010.ppm;42;41;ger;1;R-1;13;19
00007_00011.ppm;44;41;ger;1;R-1;13;19
00007_00012.ppm;44;41;ger;1;R-1;13;19
00007_00013.ppm;48;44;ger;1;R-1;13;19
00007_00014.ppm;48;43;ger;1;R-1;13;19
00007_00015.ppm;49;44;ger;1;R-1;13;19
00007_00016.ppm;50;45;ger;1;R-1;13;19
00007_00017.ppm;52;46;ger;1;R-1;13;19
00007_00018.ppm;52;48;ger;1;R-1;13;19
00007_00019.ppm;54;49;ger;1;R-1;13;19
00007_00020.ppm;56;50;ger;1;R-1;13;19
00007_00021.ppm;58;52;ger;1;R-1;13;19
00007_00022.ppm;58;54;ger;1;R-1;13;19
00007_00023.ppm;61;56;ger;1;R-1;13;19
00007_00024.ppm;64;57;ger;1;R-1;13;19
00007_00025.ppm;63;59;ger;1;R-1;13;19
00007_00026.ppm;64;60;ger;1;R-1;13;19
00007_00027.ppm;65;60;ger;1;R-1;13;19
00007_00028.ppm;70;63;ger;1;R-1;13;19
00007_00029.ppm;72;67;ger;1;R-1;13;19
00008_00000.ppm;40;44;ger;1;R-1;13;19
00008_00001.ppm;41;45;ger;1;R-1;13;19
00008_00002.ppm;42;46;ger;1;R-1;13;19
00008_00003.ppm;40;47;ger;1;R-1;13;19
00008_00004.ppm;42;48;ger;1;R-1;13;19
00008_00005.ppm;43;47;ger;1;R-1;13;19
00008_00006.ppm;44;49;ger;1;R-1;13;19
00008_00007.ppm;45;49;ger;1;R-1;13;19
00008_00008.ppm;46;52;ger;1;R-1;13;19
00008_00009.ppm;46;53;ger;1;R-1;13;19
00008_00010.ppm;48;55;ger;1;R-1;13;19
00008_00011.ppm;48;57;ger;1;R-1;13;19
00008_00012.ppm;49;57;ger;1;R-1;13;19
00008_00013.ppm;49;59;ger;1;R-1;13;19
00008_00014.ppm;49;60;ger;1;R-1;13;19
00008_00015.ppm;51;61;ger;1;R-1;13;19
00008_00016.ppm;53;62;ger;1;R-1;13;19
00008_00017.ppm;55;60;ger;1;R-1;13;19
00008_00018.ppm;56;65;ger;1;R-1;13;19
00008_00019.ppm;57;68;ger;1;R-1;13;19
00008_00020.ppm;59;73;ger;1;R-1;13;19
00008_00021.ppm;60;77;ger;1;R-1;13;19
00008_00022.ppm;59;79;ger;1;R-1;13;19
00008_00023.ppm;60;83;ger;1;R-1;13;19
00008_00024.ppm;62;86;ger;1;R-1;13;19
00008_00025.ppm;64;92;ger;1;R-1;13;19
00008_00026.ppm;65;96;ger;1;R-1;13;19
00008_00027.ppm;68;100;ger;1;R-1;13;19
00008_00028.ppm;70;107;ger;1;R-1;13;19
00008_00029.ppm;71;111;ger;1;R-1;13;19
00009_00000.ppm;29;28;ger;1;R-1;13;19
00009_00001.ppm;29;28;ger;1;R-1;13;19
00009_00002.ppm;32;29;ger;1;R-1;13;19
00009_00003.ppm;30;30;ger;1;R-1;13;19
00009_00004.ppm;30;30;ger;1;R-1;13;19
00009_00005.ppm;33;29;ger;1;R-1;13;19
00009_00006.ppm;32;31;ger;1;R-1;13;19
00009_00007.ppm;33;33;ger;1;R-1;13;19
00009_00008.ppm;34;33;ger;1;R-1;13;19
00009_00009.ppm;36;34;ger;1;R-1;13;19
00009_00010.ppm;37;37;ger;1;R-1;13;19
00009_00011.ppm;38;39;ger;1;R-1;13;19
00009_00012.ppm;41;39;ger;1;R-1;13;19
00009_00013.ppm;43;40;ger;1;R-1;13;19
00009_00014.ppm;42;42;ger;1;R-1;13;19
